,Rank,Team,Active Players,Forwards,Midfielders,Defensemen,Goalkeepers,Transfer Fees,Est. Total Salary
0,1,Manchester United ,26,"£39,520,000","£56,680,000","£37,180,000","£15,600,000","£71,000,000","£148,980,000"
1,2,Newcastle United ,23,"£10,088,000","£12,844,000","£15,392,000","£4,732,000","£23,230,000","£43,056,000"
2,3,Southampton ,24,"£23,140,000","£17,420,000","£21,216,000","£8,320,000","£55,300,000","£70,096,000"
3,4,AFC Bournemouth,7,"£3,640,000","£2,600,000","£8,060,000","£3,640,000","£25,125,000","£17,940,000"
4,5,Aston Villa ,12,"£2,392,000","£5,200,000","£4,004,000","£1,040,000","£7,410,000","£12,636,000"
5,6,Fulham ,24,"£12,454,000","£12,374,000","£11,070,800","£6,500,000","£83,950,000","£42,398,800"
6,7,Tottenham Hotspur ,23,"£23,348,000","£30,680,000","£23,998,000","£8,320,000",£0,"£86,346,000"
7,8,West Ham United ,26,"£22,100,000","£34,476,000","£22,464,000","£5,980,000","£87,900,000","£85,020,000"
8,9,Burnley ,25,"£9,620,000","£11,128,000","£15,296,000","£7,036,000","£29,700,000","£43,080,000"
9,10,Crystal Palace,25,"£20,020,000","£18,356,000","£25,012,000","£6,500,000","£9,500,000","£69,888,000"
10,11,Leicester City,28,"£15,860,000","£26,312,000","£28,340,000","£8,996,000","£91,500,000","£79,508,000"
11,12,Watford,31,"£14,456,000","£15,236,000","£17,892,000","£3,536,000","£31,816,000","£51,120,000"
12,13,Brighton & Hove Albion,24,"£12,740,000","£11,960,000","£10,674,000","£3,486,666","£52,810,000","£38,860,666"
13,14,Huddersfield Town,25,"£9,219,600","£10,452,000","£10,712,000","£650,000","£38,870,000","£31,033,600"
14,15,Cardiff City ,23,"£7,095,666","£4,485,000","£9,384,500","£3,120,000","£27,500,000","£24,085,166"
15,16,Wolves ,24,"£9,432,000","£13,230,000","£11,195,000","£7,176,000","£65,160,000","£41,033,000"
16,17,Everton ,28,"£18,096,000","£31,176,000","£28,080,000","£6,760,000","£88,870,000","£84,112,000"
17,18,Liverpool ,26,"£38,480,000","£46,800,000","£29,900,000","£7,800,000","£176,587,250","£122,980,000"
18,19,Arsenal ,28,"£31,307,273","£53,014,000","£37,284,000","£11,960,000","£69,900,000","£133,565,273"
19,20,Manchester City ,26,"£44,200,000","£50,440,000","£43,026,000","£7,540,000","£62,350,000","£145,206,000"
20,21,Chelsea ,28,"£10,140,000","£70,162,000","£43,628,000","£11,856,000","£195,360,000","£140,206,000"
